entry,accessPath,depth,isConstructor,isAsync,hasDocComment,snippets_native,snippets_docs,signature,implLength,implGroupSize
mini,zod-mini.z.core.isValidBase64URL,3,False,False,False,0,0,(data),277,1
mini,zod-mini.z.core.isValidJWT,3,False,False,False,0,1,"(token, algorithm = null)",637,1
mini,zod-mini.z.core.locales.ar,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.az,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.be,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.ca,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.cs,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.de,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.en,4,False,False,False,0,5,(),74,39
mini,zod-mini.z.core.locales.eo,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.es,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.fa,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.fi,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.fr,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.frCA,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.he,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.hu,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.id,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.it,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.ja,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.kh,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.ko,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.mk,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.ms,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.nl,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.no,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.ota,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.pl,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.ps,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.pt,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.ru,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.sl,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.sv,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.ta,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.th,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.tr,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.ua,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.ur,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.vi,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.zhCN,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.locales.zhTW,4,False,False,False,0,0,(),74,39
mini,zod-mini.z.core.parse,3,False,False,False,0,125,"(schema, value, _ctx, _params)",517,1
mini,zod-mini.z.core.parseAsync,3,False,True,False,0,7,"(schema, value, _ctx, params)",498,1
mini,zod-mini.z.core.prettifyError,3,False,False,False,0,1,(error),433,1
mini,zod-mini.z.core.regexes.datetime,4,False,False,False,0,26,(args),330,1
mini,zod-mini.z.core.regexes.emoji,4,False,False,False,0,8,(),56,1
mini,zod-mini.z.core.regexes.string,4,False,False,False,0,807,(params),155,1
mini,zod-mini.z.core.regexes.time,4,False,False,False,0,16,(args),71,1
mini,zod-mini.z.core.regexes.uuid,4,False,False,False,0,22,(version),306,1
mini,zod-mini.z.core.registry,3,False,False,False,0,1,(),54,1
mini,zod-mini.z.core.safeParse,3,False,False,False,0,30,"(schema, value, _ctx)",500,1
mini,zod-mini.z.core.safeParseAsync,3,False,True,False,0,5,"(schema, value, _ctx)",474,1
mini,zod-mini.z.core.toDotPath,3,False,False,False,0,0,(path),486,1
mini,zod-mini.z.core.toJSONSchema,3,False,False,False,0,21,"(input, _params)",1052,1
mini,zod-mini.z.core.treeifyError,3,False,False,False,0,1,"(error, _mapper)",1951,1
mini,zod-mini.z.core.util.Class,4,True,False,False,0,0,(..._args),45,1
mini,zod-mini.z.core.util.aborted,4,False,False,False,0,0,"(x, startIndex = 0)",189,1
mini,zod-mini.z.core.util.assert,4,False,False,False,0,0,(_),22,1
mini,zod-mini.z.core.util.assertEqual,4,False,False,False,0,0,(val),45,1
mini,zod-mini.z.core.util.assertIs,4,False,False,False,0,0,(_arg),27,1
mini,zod-mini.z.core.util.assertNever,4,False,False,False,0,0,(_x),51,1
mini,zod-mini.z.core.util.assertNotEqual,4,False,False,False,0,0,(val),48,1
mini,zod-mini.z.core.util.assignProp,4,False,False,False,0,0,"(target, prop, value)",187,1
mini,zod-mini.z.core.util.cached,4,False,False,False,0,0,(getter),333,1
mini,zod-mini.z.core.util.captureStackTrace,4,False,False,False,0,0,"(arg1, arg2)",46,1
mini,zod-mini.z.core.util.cleanEnum,4,False,False,False,0,0,(obj),253,1
mini,zod-mini.z.core.util.cleanRegex,4,False,False,False,0,0,(source),192,1
mini,zod-mini.z.core.util.clone,4,False,False,False,0,1,"(inst, def, params)",174,1
mini,zod-mini.z.core.util.createTransparentProxy,4,False,False,False,0,0,(getter),1115,1
mini,zod-mini.z.core.util.defineLazy,4,False,False,False,0,0,"(object, key, getter)",563,1
mini,zod-mini.z.core.util.esc,4,False,False,False,0,0,(str),53,1
mini,zod-mini.z.core.util.escapeRegex,4,False,False,False,0,0,(str),84,1
mini,zod-mini.z.core.util.extend,4,False,False,False,0,22,"(schema, shape)",470,1
mini,zod-mini.z.core.util.finalizeIssue,4,False,False,False,0,0,"(iss, ctx, config)",616,1
mini,zod-mini.z.core.util.floatSafeRemainder,4,False,False,False,0,0,"(val, step)",462,1
mini,zod-mini.z.core.util.getElementAtPath,4,False,False,False,0,0,"(obj, path)",130,1
